,zipcode,cases_reported,Number_of_Pets,number_of_returns,avg_AGI,culturalspaces,True
0,98101,5361.0,12.0,7890.0,136.1487959,55.0,both
1,98102,1752.0,29.0,15880.0,94.8156801,20.0,both
2,98103,4053.0,84.0,28150.0,85.42767318,77.0,both
3,98104,3513.0,9.0,6580.0,98.65607903,87.0,both
4,98105,2958.0,47.0,15400.0,108.5212338,64.0,both
5,98106,670.0,27.0,12500.0,50.07752,8.0,both
6,98107,3101.0,60.0,14480.0,77.42486188,35.0,both
7,98108,1569.0,25.0,11780.0,50.01273345,36.0,both
8,98109,2681.0,37.0,15300.0,108.8438562,48.0,both
9,98110,,,11310.0,132.3692308,,right_only
10,98111,,1.0,,,,left_only
11,98112,2140.0,30.0,12130.0,202.574526,16.0,both
12,98115,2401.0,82.0,25370.0,100.7467087,27.0,both
13,98116,1056.0,44.0,13660.0,98.37759883,20.0,both
14,98117,3184.0,85.0,17560.0,93.9535877,11.0,both
15,98118,1624.0,36.0,22620.0,56.95778073,35.0,both
16,98119,1654.0,28.0,12450.0,111.5524498,18.0,both
17,98121,2179.0,23.0,8760.0,128.0871005,38.0,both
18,98122,1712.0,58.0,19510.0,77.25699641,88.0,both
19,98125,3184.0,54.0,20000.0,64.3982,4.0,both
20,98126,1194.0,35.0,10950.0,70.93753425,9.0,both
21,98133,1058.0,47.0,24090.0,55.06720631,4.0,both
22,98134,674.0,1.0,590.0,124.1677966,23.0,both
23,98136,1396.0,20.0,8460.0,104.9786052,7.0,both
24,98144,2369.0,38.0,15060.0,76.60438247,26.0,both
25,98145,,,,,1.0,right_only
26,98146,1041.0,7.0,13060.0,57.92258806,4.0,both
27,98148,,,5010.0,47.45868263,1.0,right_only
28,98154,,,,,1.0,right_only
29,98155,,1.0,17450.0,73.53375358,4.0,both
30,98164,,,110.0,201.4090909,,right_only
31,98166,,,10810.0,78.81988899,7.0,right_only
32,98168,102.0,,17030.0,42.13534938,2.0,both
33,98177,378.0,9.0,10270.0,120.1930867,,both
34,98178,355.0,14.0,12100.0,51.03735537,,both
35,98188,,,12430.0,43.71769912,1.0,right_only
36,98195,,,,,15.0,right_only
37,98198,,1.0,17700.0,52.88813559,3.0,both
38,98199,680.0,42.0,11030.0,130.7781505,8.0,both
